Category,Item,MPN,Supplier,Qty,Unit,Notes,Package
PoE,PoE controller with integrated switching,LTC4267CGN-3#PBF,Analog Devices,1,8.50,IEEE 802.3af compliant PD controller,SSOP-16
PoE,PoE isolation transformer,H1102NLT,Pulse Electronics,1,3.20,Ethernet isolation with PoE support,THT
PoE,Schottky rectifier for PoE,PMEG4010BEA,115,Nexperia,4,0.15,PoE bridge rectifier,SMD
PoE,Inductor 47µH for PoE switching,SRN6045-470M,Bourns,1,0.35,PoE DC-DC converter,SMD
PoE,PoE detection resistor 25.5kohm 1%,ERJ-3EKF2552V,Panasonic,1,0.02,PoE signature resistor,SMD
Safety,Safety relay dual-channel SPDT,G7SA-2A2B-DC24,Omron,2,12.50,EN ISO 13849 PLd safety-rated outputs,THT
Safety,Relay coil driver with economization,DRV110APWR,Texas Instruments,1,2.80,Coil current control; contact monitoring via MCU,SMD
IO,Op-amp for analog conditioning dual,OPA2182IDR,Texas Instruments,1,2.10,Legacy 4-20mA and 0-10V input conditioning,SMD
IO,Precision resistor 249ohm 0.1% for 4-20mA,ERA-3AEB2490V,Panasonic,1,0.08,Current loop termination,SMD
IO,Precision resistor 10kohm 0.1% for voltage,ERA-3AEB1002V,Panasonic,1,0.08,Voltage divider for 0-10V,SMD
Protection,TVS diode array for sensor inputs,SP0503BAHTG,Littelfuse,3,0.12,Sensor connector protection,SMD
PCB,4-layer PCB FR4 1.55mm 35µm 100x160mm,PCB-4L,Various,1,2.40,ENIG finish 4-layer,PCB
Programming,Tag-Connect SWD footprint (TC2050 or TC2030),TC2050/TC2030,Tag-Connect,0,0.00,DNP; ensure footprint on PCB for SWD,SMD
